=== CartPole Q-Learning Training ===
Experiment: baseline
Configuration:
  ALPHA: 0.1
  GAMMA: 0.99
  EPSILON: 1.0
  EPSILON_DECAY: 0.995
  EPISODES: 10000
  BUCKETS: (3, 3, 6, 6)
Start time: 2026-01-18 19:02:09

Episode    0 | Reward:   11.0 | Avg(100):  11.00 | Epsilon: 0.9950
Episode  100 | Reward:   49.0 | Avg(100):  32.77 | Epsilon: 0.6027
Episode  200 | Reward:   35.0 | Avg(100):  50.06 | Epsilon: 0.3651
Episode  300 | Reward:  142.0 | Avg(100):  60.93 | Epsilon: 0.2212
Episode  400 | Reward:  176.0 | Avg(100):  86.91 | Epsilon: 0.1340
Episode  500 | Reward:  139.0 | Avg(100):  93.44 | Epsilon: 0.0812
Episode  600 | Reward:  148.0 | Avg(100): 115.85 | Epsilon: 0.0492
Episode  700 | Reward:  500.0 | Avg(100): 146.54 | Epsilon: 0.0298
Episode  800 | Reward:  189.0 | Avg(100): 206.71 | Epsilon: 0.0180
Episode  900 | Reward:   13.0 | Avg(100): 261.64 | Epsilon: 0.0109
Episode 1000 | Reward:  500.0 | Avg(100): 303.08 | Epsilon: 0.0100
Episode 1100 | Reward:  221.0 | Avg(100): 211.25 | Epsilon: 0.0100
Episode 1200 | Reward:   12.0 | Avg(100): 242.82 | Epsilon: 0.0100
Episode 1300 | Reward:  138.0 | Avg(100): 151.65 | Epsilon: 0.0100
Episode 1400 | Reward:   13.0 | Avg(100): 291.82 | Epsilon: 0.0100
Episode 1500 | Reward:   13.0 | Avg(100): 127.78 | Epsilon: 0.0100
Episode 1600 | Reward:  500.0 | Avg(100): 319.61 | Epsilon: 0.0100
Episode 1700 | Reward:  178.0 | Avg(100): 133.97 | Epsilon: 0.0100
Episode 1800 | Reward:  161.0 | Avg(100): 140.09 | Epsilon: 0.0100
Episode 1900 | Reward:  172.0 | Avg(100): 278.07 | Epsilon: 0.0100
Episode 2000 | Reward:  173.0 | Avg(100): 263.18 | Epsilon: 0.0100
Episode 2100 | Reward:  487.0 | Avg(100): 278.01 | Epsilon: 0.0100
Episode 2200 | Reward:   11.0 | Avg(100): 237.30 | Epsilon: 0.0100
Episode 2300 | Reward:  205.0 | Avg(100): 126.86 | Epsilon: 0.0100
Episode 2400 | Reward:   11.0 | Avg(100): 133.67 | Epsilon: 0.0100
Episode 2500 | Reward:  500.0 | Avg(100): 367.09 | Epsilon: 0.0100
Episode 2600 | Reward:  184.0 | Avg(100): 332.20 | Epsilon: 0.0100
Episode 2700 | Reward:  144.0 | Avg(100): 295.62 | Epsilon: 0.0100
Episode 2800 | Reward:  168.0 | Avg(100): 156.03 | Epsilon: 0.0100
