=== CartPole Q-Learning Training ===
Experiment: fast_exploration
Configuration:
  ALPHA: 0.1
  GAMMA: 0.99
  EPSILON: 1.0
  EPSILON_DECAY: 0.99
  EPISODES: 10000
  BUCKETS: (3, 3, 6, 6)
Start time: 2026-01-18 19:05:15

Episode    0 | Reward:   12.0 | Avg(100):  12.00 | Epsilon: 0.9900
Episode  100 | Reward:   20.0 | Avg(100):  49.52 | Epsilon: 0.3624
Episode  200 | Reward:  132.0 | Avg(100):  77.63 | Epsilon: 0.1326
Episode  300 | Reward:  105.0 | Avg(100): 108.41 | Epsilon: 0.0486
Episode  400 | Reward:  229.0 | Avg(100): 131.89 | Epsilon: 0.0178
Episode  500 | Reward:  178.0 | Avg(100): 148.78 | Epsilon: 0.0100
Episode  600 | Reward:  134.0 | Avg(100): 152.38 | Epsilon: 0.0100
Episode  700 | Reward:  210.0 | Avg(100): 153.31 | Epsilon: 0.0100
Episode  800 | Reward:  204.0 | Avg(100): 147.82 | Epsilon: 0.0100
Episode  900 | Reward:  208.0 | Avg(100): 150.45 | Epsilon: 0.0100
Episode 1000 | Reward:  182.0 | Avg(100): 163.70 | Epsilon: 0.0100
Episode 1100 | Reward:  177.0 | Avg(100): 149.42 | Epsilon: 0.0100
Episode 1200 | Reward:  117.0 | Avg(100): 143.21 | Epsilon: 0.0100
Episode 1300 | Reward:  140.0 | Avg(100): 148.57 | Epsilon: 0.0100
Episode 1400 | Reward:  154.0 | Avg(100): 151.43 | Epsilon: 0.0100
Episode 1500 | Reward:  153.0 | Avg(100): 154.79 | Epsilon: 0.0100
Episode 1600 | Reward:   83.0 | Avg(100): 157.92 | Epsilon: 0.0100
Episode 1700 | Reward:  210.0 | Avg(100): 151.11 | Epsilon: 0.0100
Episode 1800 | Reward:   13.0 | Avg(100): 146.98 | Epsilon: 0.0100
Episode 1900 | Reward:  110.0 | Avg(100): 152.44 | Epsilon: 0.0100
Episode 2000 | Reward:  231.0 | Avg(100): 152.58 | Epsilon: 0.0100
Episode 2100 | Reward:   85.0 | Avg(100): 144.80 | Epsilon: 0.0100
Episode 2200 | Reward:  161.0 | Avg(100): 155.52 | Epsilon: 0.0100
Episode 2300 | Reward:  192.0 | Avg(100): 150.08 | Epsilon: 0.0100
Episode 2400 | Reward:  133.0 | Avg(100): 167.25 | Epsilon: 0.0100
Episode 2500 | Reward:  201.0 | Avg(100): 159.77 | Epsilon: 0.0100
Episode 2600 | Reward:  203.0 | Avg(100): 151.37 | Epsilon: 0.0100
Episode 2700 | Reward:  202.0 | Avg(100): 158.57 | Epsilon: 0.0100
Episode 2800 | Reward:  172.0 | Avg(100): 154.22 | Epsilon: 0.0100
Episode 2900 | Reward:  147.0 | Avg(100): 142.58 | Epsilon: 0.0100
Episode 3000 | Reward:   74.0 | Avg(100): 158.97 | Epsilon: 0.0100
Episode 3100 | Reward:  221.0 | Avg(100): 155.84 | Epsilon: 0.0100
Episode 3200 | Reward:  145.0 | Avg(100): 162.95 | Epsilon: 0.0100
Episode 3300 | Reward:  217.0 | Avg(100): 159.00 | Epsilon: 0.0100
