=== CartPole Q-Learning Training ===
Experiment: low_discount
Configuration:
  ALPHA: 0.1
  GAMMA: 0.8
  EPSILON: 1.0
  EPSILON_DECAY: 0.995
  EPISODES: 10000
  BUCKETS: (3, 3, 6, 6)
Start time: 2026-01-18 19:03:17

Episode    0 | Reward:   19.0 | Avg(100):  19.00 | Epsilon: 0.9950
Episode  100 | Reward:   13.0 | Avg(100):  29.23 | Epsilon: 0.6027
Episode  200 | Reward:   13.0 | Avg(100):  45.87 | Epsilon: 0.3651
Episode  300 | Reward:   10.0 | Avg(100):  55.84 | Epsilon: 0.2212
Episode  400 | Reward:  213.0 | Avg(100):  71.76 | Epsilon: 0.1340
Episode  500 | Reward:  157.0 | Avg(100):  81.33 | Epsilon: 0.0812
Episode  600 | Reward:   11.0 | Avg(100): 139.25 | Epsilon: 0.0492
Episode  700 | Reward:  500.0 | Avg(100): 192.29 | Epsilon: 0.0298
Episode  800 | Reward:   10.0 | Avg(100): 154.71 | Epsilon: 0.0180
Episode  900 | Reward:  158.0 | Avg(100): 181.16 | Epsilon: 0.0109
Episode 1000 | Reward:  184.0 | Avg(100): 179.54 | Epsilon: 0.0100
Episode 1100 | Reward:   10.0 | Avg(100): 158.98 | Epsilon: 0.0100
Episode 1200 | Reward:  140.0 | Avg(100): 137.07 | Epsilon: 0.0100
Episode 1300 | Reward:  144.0 | Avg(100): 200.54 | Epsilon: 0.0100
Episode 1400 | Reward:  103.0 | Avg(100): 154.26 | Epsilon: 0.0100
Episode 1500 | Reward:  142.0 | Avg(100): 147.93 | Epsilon: 0.0100
Episode 1600 | Reward:  500.0 | Avg(100): 138.58 | Epsilon: 0.0100
Episode 1700 | Reward:  222.0 | Avg(100): 137.18 | Epsilon: 0.0100
Episode 1800 | Reward:  153.0 | Avg(100): 187.99 | Epsilon: 0.0100
Episode 1900 | Reward:  143.0 | Avg(100): 141.58 | Epsilon: 0.0100
Episode 2000 | Reward:  197.0 | Avg(100): 188.88 | Epsilon: 0.0100
Episode 2100 | Reward:  151.0 | Avg(100): 164.45 | Epsilon: 0.0100
Episode 2200 | Reward:  125.0 | Avg(100): 136.90 | Epsilon: 0.0100
