=== MountainCar Q-Learning Training ===
Experiment: fast_exploration
Configuration:
  ALPHA: 0.1
  GAMMA: 0.99
  EPSILON: 1.0
  EPSILON_DECAY: 0.99
  EPISODES: 10000
  BUCKETS: (20, 20)
Start time: 2026-01-18 18:58:32

Episode    0 | Reward: -200.0 | Avg(100): -200.00 | Success: 0.0% | Epsilon: 0.9900
Episode  100 | Reward: -200.0 | Avg(100): -200.00 | Success: 0.0% | Epsilon: 0.3624
Episode  200 | Reward: -200.0 | Avg(100): -200.00 | Success: 0.0% | Epsilon: 0.1326
Episode  300 | Reward: -200.0 | Avg(100): -200.00 | Success: 0.0% | Epsilon: 0.0486
Episode  400 | Reward: -200.0 | Avg(100): -200.00 | Success: 0.0% | Epsilon: 0.0178
Episode  500 | Reward: -200.0 | Avg(100): -200.00 | Success: 0.0% | Epsilon: 0.0100
Episode  600 | Reward: -200.0 | Avg(100): -199.32 | Success: 0.7% | Epsilon: 0.0100
Episode  700 | Reward: -189.0 | Avg(100): -194.40 | Success: 4.6% | Epsilon: 0.0100
Episode  800 | Reward: -200.0 | Avg(100): -198.86 | Success: 4.5% | Epsilon: 0.0100
Episode  900 | Reward: -200.0 | Avg(100): -197.70 | Success: 5.1% | Epsilon: 0.0100
Episode 1000 | Reward: -200.0 | Avg(100): -196.48 | Success: 6.1% | Epsilon: 0.0100
Episode 1100 | Reward: -200.0 | Avg(100): -192.84 | Success: 8.2% | Epsilon: 0.0100
Episode 1200 | Reward: -200.0 | Avg(100): -195.97 | Success: 9.3% | Epsilon: 0.0100
Episode 1300 | Reward: -200.0 | Avg(100): -196.62 | Success: 10.1% | Epsilon: 0.0100
Episode 1400 | Reward: -200.0 | Avg(100): -194.45 | Success: 12.1% | Epsilon: 0.0100
Episode 1500 | Reward: -200.0 | Avg(100): -195.41 | Success: 12.3% | Epsilon: 0.0100
Episode 1600 | Reward: -158.0 | Avg(100): -189.17 | Success: 14.1% | Epsilon: 0.0100
Episode 1700 | Reward: -200.0 | Avg(100): -179.25 | Success: 16.4% | Epsilon: 0.0100
Episode 1800 | Reward: -200.0 | Avg(100): -187.77 | Success: 17.5% | Epsilon: 0.0100
Episode 1900 | Reward: -200.0 | Avg(100): -191.09 | Success: 19.0% | Epsilon: 0.0100
Episode 2000 | Reward: -169.0 | Avg(100): -179.02 | Success: 21.4% | Epsilon: 0.0100
