=== MountainCar Q-Learning Training ===
Experiment: slow_exploration
Configuration:
  ALPHA: 0.1
  GAMMA: 0.99
  EPSILON: 1.0
  EPSILON_DECAY: 0.999
  EPISODES: 10000
  BUCKETS: (20, 20)
Start time: 2026-01-18 18:57:29

Episode    0 | Reward: -200.0 | Avg(100): -200.00 | Success: 0.0% | Epsilon: 0.9990
Episode  100 | Reward: -200.0 | Avg(100): -200.00 | Success: 0.0% | Epsilon: 0.9039
Episode  200 | Reward: -200.0 | Avg(100): -200.00 | Success: 0.0% | Epsilon: 0.8178
Episode  300 | Reward: -200.0 | Avg(100): -200.00 | Success: 0.0% | Epsilon: 0.7400
Episode  400 | Reward: -200.0 | Avg(100): -200.00 | Success: 0.0% | Epsilon: 0.6695
Episode  500 | Reward: -200.0 | Avg(100): -200.00 | Success: 0.0% | Epsilon: 0.6058
Episode  600 | Reward: -200.0 | Avg(100): -200.00 | Success: 0.0% | Epsilon: 0.5481
Episode  700 | Reward: -200.0 | Avg(100): -200.00 | Success: 0.0% | Epsilon: 0.4959
Episode  800 | Reward: -200.0 | Avg(100): -200.00 | Success: 0.0% | Epsilon: 0.4487
Episode  900 | Reward: -200.0 | Avg(100): -200.00 | Success: 0.0% | Epsilon: 0.4060
Episode 1000 | Reward: -200.0 | Avg(100): -200.00 | Success: 0.1% | Epsilon: 0.3673
Episode 1100 | Reward: -200.0 | Avg(100): -199.87 | Success: 0.2% | Epsilon: 0.3324
Episode 1200 | Reward: -200.0 | Avg(100): -199.27 | Success: 0.3% | Epsilon: 0.3007
Episode 1300 | Reward: -200.0 | Avg(100): -199.52 | Success: 0.5% | Epsilon: 0.2721
Episode 1400 | Reward: -200.0 | Avg(100): -196.94 | Success: 1.3% | Epsilon: 0.2462
Episode 1500 | Reward: -193.0 | Avg(100): -197.34 | Success: 2.3% | Epsilon: 0.2227
Episode 1600 | Reward: -200.0 | Avg(100): -193.31 | Success: 4.0% | Epsilon: 0.2015
Episode 1700 | Reward: -200.0 | Avg(100): -196.31 | Success: 4.9% | Epsilon: 0.1823
Episode 1800 | Reward: -200.0 | Avg(100): -199.72 | Success: 4.8% | Epsilon: 0.1650
Episode 1900 | Reward: -200.0 | Avg(100): -188.03 | Success: 7.0% | Epsilon: 0.1493
Episode 2000 | Reward: -200.0 | Avg(100): -192.05 | Success: 7.9% | Epsilon: 0.1351
Episode 2100 | Reward: -200.0 | Avg(100): -191.09 | Success: 9.1% | Epsilon: 0.1222
Episode 2200 | Reward: -200.0 | Avg(100): -198.73 | Success: 9.1% | Epsilon: 0.1106
Episode 2300 | Reward: -194.0 | Avg(100): -198.07 | Success: 9.4% | Epsilon: 0.1000
Episode 2400 | Reward: -200.0 | Avg(100): -191.85 | Success: 10.4% | Epsilon: 0.0905
Episode 2500 | Reward: -200.0 | Avg(100): -200.00 | Success: 10.0% | Epsilon: 0.0819
